,soil
2001-10-01,1227.6891243387417
2001-11-01,1142.687006170423
2001-12-01,1065.366166166492
2002-01-01,898.0556463017231
2002-02-01,811.3064040642231
2002-03-01,677.5873069776383
2002-04-01,614.3669729392248
2002-05-01,842.6075729014191
2002-06-01,1302.36516234963
2002-07-01,1187.4128244278406
2002-08-01,1076.5888951272905
2002-09-01,1132.729059023823
2002-10-01,1100.9707047040697
2002-11-01,1019.4611020365312
2002-12-01,988.5026773184819
2003-01-01,802.3100154751146
2003-02-01,669.5687057010543
2003-03-01,573.4400341891289
2003-04-01,528.249299701699
2003-05-01,1165.3585063622584
2003-06-01,1299.712052802381
2003-07-01,1131.9093827672862
2003-08-01,1097.6031540788285
2003-09-01,1093.940319612912
2003-10-01,1080.1165552413036
2003-11-01,992.3548494135168
2003-12-01,834.6388045871547
2004-01-01,708.9107783336774
2004-02-01,625.0047280228264
2004-03-01,521.9072487375555
2004-04-01,498.8766095825498
2004-05-01,887.4918717420535
2004-06-01,1343.1952839729895
2004-07-01,1210.6999856241177
2004-08-01,1181.8593968258303
2004-09-01,1305.9745027104416
2004-10-01,1274.434918175623
2004-11-01,1265.577026516573
2004-12-01,1175.6926743175525
2005-01-01,994.1380178985283
2005-02-01,863.4448827255308
2005-03-01,757.8841424467479
2005-04-01,683.3793108814892
2005-05-01,890.4857011708258
2005-06-01,1221.5999480995872
2005-07-01,1115.1998379915385
2005-08-01,1338.6569060570582
2005-09-01,1311.0214485370984
2005-10-01,1256.6521790048168
2005-11-01,1142.2653096752501
2005-12-01,1098.9117955822294
2006-01-01,991.4557708741036
2006-02-01,844.653320178469
2006-03-01,735.5980507347323
2006-04-01,688.8201527020749
2006-05-01,866.9672401249188
2006-06-01,932.6590073324869
2006-07-01,1048.230873754784
2006-08-01,1094.115101880137
2006-09-01,1120.5114999925997
2006-10-01,1096.483511496611
2006-11-01,1054.0460287990813
2006-12-01,1003.5708017270881
2007-01-01,872.7355915181854
2007-02-01,712.9746983940338
2007-03-01,653.7420897908214
2007-04-01,588.1304359307014
2007-05-01,948.6544818288182
2007-06-01,925.8439668104062
2007-07-01,1185.504854205463
2007-08-01,1132.5928029735628
2007-09-01,1265.330682495824
2007-10-01,1226.0512596036876
2007-11-01,1192.7018981056608
2007-12-01,1114.4450608948068
2008-01-01,1004.2944989351631
2008-02-01,933.1294890664096
2008-03-01,820.9981161263827
2008-04-01,805.4589527961648
2008-05-01,1224.7547142086175
2008-06-01,1200.0750099313975
2008-07-01,1219.0043386305115
2008-08-01,1144.864675715546
2008-09-01,1116.324558373764
2008-10-01,1066.6327850288903
2008-11-01,1056.5188992125002
2008-12-01,971.9027338450454
2009-01-01,809.2126519153363
2009-02-01,769.7838014320079
2009-03-01,672.0478963018667
2009-04-01,714.0586887374053
2009-05-01,1143.3595824802958
2009-06-01,1233.7346833714832
2009-07-01,1154.2302344762968
2009-08-01,1161.7127407199912
2009-09-01,1191.0411037548963
2009-10-01,1163.234941015523
2009-11-01,1066.0257568058094
2009-12-01,890.2050901616489
2010-01-01,749.4477535807624
2010-02-01,657.1449777494427
2010-03-01,587.6329406877005
2010-04-01,547.3727153315358
2010-05-01,713.8539280979671
2010-06-01,1037.5349451510356
2010-07-01,1223.3324731978323
2010-08-01,1346.8204435185442
2010-09-01,1476.224615035211
2010-10-01,1384.0417308003275
2010-11-01,1327.6486974702082
2010-12-01,1304.8159926596018
2011-01-01,1196.7357302309763
2011-02-01,1038.6065537064799
2011-03-01,936.8865521903014
2011-04-01,823.3552672099983
2011-05-01,1315.0424536412017
2011-06-01,1404.9344740917252
2011-07-01,1389.8422337966226
2011-08-01,1307.7408929902963
2011-09-01,1417.721378308559
2011-10-01,1378.6073094729907
2011-11-01,1369.0390030827457
2011-12-01,1307.9985793652186
2012-01-01,1153.6272187962293
2012-02-01,1095.240560330439
2012-03-01,991.9145725070092
2012-04-01,867.1388450473157
2012-05-01,1331.2978897569674
2012-06-01,1363.946822462367
2012-07-01,1376.6056029133597
2012-08-01,1482.020468215503
2012-09-01,1442.3371602092643
2012-10-01,1312.5988103376462
2012-11-01,1220.6580377170358
2012-12-01,1178.6644280829928
2013-01-01,1038.089194903525
2013-02-01,912.3246493299317
2013-03-01,823.2489695082618
2013-04-01,750.6286509775708
2013-05-01,917.8709783619109
2013-06-01,1279.4325957153042
2013-07-01,1272.1530279459453
2013-08-01,1263.748825393218
2013-09-01,1333.354735205783
2013-10-01,1319.6953824351576
2013-11-01,1256.99672104198
2013-12-01,1168.3885100714574
2014-01-01,976.2987382358853
2014-02-01,819.7450227150448
2014-03-01,715.1694506962223
2014-04-01,717.4893992373101
2014-05-01,866.852359744736
2014-06-01,1117.6261285435867
2014-07-01,1208.777900115886
2014-08-01,1126.4209771977307
2014-09-01,1208.8854529679263
2014-10-01,1182.2647036289827
2014-11-01,1103.6377469331114
2014-12-01,1057.4844580962722
2015-01-01,935.4664119147677
2015-02-01,790.8013261527321
2015-03-01,690.726552649304
2015-04-01,653.994318031081
2015-05-01,758.0146013112585
2015-06-01,1044.5299834635077
2015-07-01,1106.204651500545
2015-08-01,1174.5149957368553
2015-09-01,1176.9752758742898
2015-10-01,1115.6603143447526
2015-11-01,993.2502686563582
2015-12-01,972.1996898818395
2016-01-01,878.3375134003861
2016-02-01,783.1356939920229
2016-03-01,660.6741683417522
2016-04-01,595.4140173071734
2016-05-01,992.6647864772167
2016-06-01,1115.8354920095296
2016-07-01,1214.837783470986
2016-08-01,1164.3222489140624
2016-09-01,1211.6935718877758
2016-10-01,1209.6139793655273
2016-11-01,1167.8200804781488
2016-12-01,1085.397804373462
2017-01-01,967.0443267160697
2017-02-01,855.4542628803348
2017-03-01,718.2426283364048
2017-04-01,644.0747697171436
2017-05-01,871.7862205316833
2017-06-01,1176.8429392678865
2017-07-01,1165.5134991015648
2017-08-01,1392.4366449142892
2017-09-01,1326.5827362239477
2017-10-01,1264.7572862187706
2017-11-01,1184.4203024327076
2017-12-01,1123.8959279906337
2018-01-01,957.175576513381
2018-02-01,832.6581571003301
2018-03-01,702.8932259574643
2018-04-01,633.7539087351101
2018-05-01,838.864962561343
2018-06-01,1298.8715502715072
2018-07-01,1198.1027044719483
2018-08-01,1336.5148467738165
2018-09-01,1171.107346419137
2018-10-01,1100.5709348185896
2018-11-01,946.7995063273288
2018-12-01,937.1398622831204
2019-01-01,770.3584062089385
2019-02-01,633.7790661741002
2019-03-01,547.9921411556869
2019-04-01,511.02576345046884
2019-05-01,901.0591545480406
2019-06-01,1247.7484701190667
2019-07-01,1169.056406964849
2019-08-01,1322.8290340687377
2019-09-01,1218.845382791017
2019-10-01,1087.5193199135626
2019-11-01,1111.2875071962364
2019-12-01,1025.6182457568912
2020-01-01,843.0009529323214
2020-02-01,716.0850924883663
2020-03-01,596.2347766479354
2020-04-01,624.4757847365463
2020-05-01,1012.6504131569704
2020-06-01,1136.6781221959031
2020-07-01,1152.1258139054705
2020-08-01,1229.1694422775254
2020-09-01,1168.6090016172589
